rFFA,lFFA,rpSTS,lpSTS,rOPA,lOPA,rPPA,lPPA,rRSC,lRSC,rLOC,lLOC,rEVC,lEVC
-0.003562558,0.081821383,0.284449094,0.394878175,0.180489652,0.359010212,-0.080048962,0.102235969,-0.111664142,-0.073283269,0.036845084,0.188607092,-0.292496915,-0.028215763
-0.0824591,-0.11962565,0.170897374,0.387181723,-0.010238046,0.191932465,-0.191334226,-0.218660096,-0.224774411,-0.35338196,0.103119032,-0.077510655,0.118450196,-0.239718052
-0.064989438,-0.042012742,0.480330997,0.567159167,0.075737067,0.209874354,-0.168359616,-0.183938047,0.041558659,-0.150414716,-0.137751423,0.034760576,0.38102474,-0.436907144
-0.113971702,0.040636045,0.146215683,0.020792364,0.009022942,-0.000804525,-0.09961258,-0.058085548,-0.01124216,-0.193246362,-0.212309622,0.123053557,0.521706054,-0.578372468
0.087640692,0.298831006,-0.100544373,-0.08438671,-0.066483163,-0.141240975,0.042148587,0.093026376,-0.093990832,-0.175262148,0.009538254,0.220337139,0.616328866,-0.184680979
0.215288559,0.403105198,0.285739593,0.099585172,-0.104206825,-0.226363631,0.064164592,0.052460085,-0.108694878,-0.002568612,0.367109963,0.546585212,0.386012624,-0.094996861
0.322730724,0.369888471,-0.032578213,0.01820041,0.05104029,-0.038518197,0.150634768,0.213634158,0.051757916,0.008651593,0.300094803,-0.158219081,0.063017353,0.206419249
0.181600227,0.09558346,-0.020939345,-0.054434968,0.085404989,0.029455455,0.190151546,0.171407679,0.159038542,0.187732129,-0.33582857,-0.324805977,-0.499565837,0.23489126
0.035173861,-0.018207402,-0.163777516,-0.096879896,-0.054252287,-0.053807954,-0.148722844,-0.090555797,-0.150037848,-0.246509473,-0.156408135,-0.207079829,-1.245300667,0.161528771
0.203471809,0.131167075,-0.067749035,-0.209565109,0.171688365,0.059564874,-0.211157325,-0.168915659,-0.094459089,-0.090825654,-0.096750326,-0.036289203,-1.216382246,0.23981045
0.014906149,-0.002356734,-0.074232164,-0.067313871,0.24431096,0.220031665,0.066579363,0.007078162,0.036214315,0.05113255,-0.119603451,-0.092086321,-0.423431987,-0.062830519
0.120270951,-0.098172802,0.316546133,0.441605116,0.105675771,0.08325608,0.099334275,0.193475799,0.351333478,0.393002978,-0.227167151,-0.25836038,-0.053423946,-0.116367852
0.122770729,0.067027292,0.73482659,0.654573398,-0.129895929,-0.069421245,-0.018252077,-0.046713435,0.211016377,0.262688873,-0.261615844,-0.098844928,-0.03644088,-0.547687285
0.124285148,0.033823636,0.870514664,0.630698141,-0.635070363,-0.394004568,-0.100446609,-0.129670716,0.116855205,0.129710146,-0.3763034,-0.475969578,-0.63510883,-1.31825635
0.147658989,0.029137229,0.60483785,0.297172322,-0.29875152,-0.243400215,0.044231678,0.087578265,0.107309737,0.326048247,-0.244076944,-0.396742179,-0.346923594,-0.445465838
-0.175597702,-0.307566769,0.172891644,0.025351914,-0.342484279,-0.166355885,-0.017031521,-0.050286901,0.080548847,0.222546813,-0.276788608,-0.436533,-0.278565546,0.01609335
-0.188575577,-0.377247183,-0.192398078,-0.368836674,-0.225964705,-0.221009033,-0.080377152,-0.185982575,-0.080012419,-0.055504363,-0.113679079,-0.139775987,-0.133335281,0.316925317
-0.388237551,-0.325736707,-0.446541124,-0.448260247,-0.060428397,-0.31174085,0.12996809,-0.020316017,0.063690169,-0.021002927,-0.052270277,-0.290884779,0.727993872,0.345605053
-0.455642285,-0.455595708,-0.986990249,-0.423835404,0.488660726,0.22795234,0.548702943,0.369309041,0.391556968,0.334542134,-0.316095411,-0.675053516,1.082701413,0.391350376
-0.342552112,-0.482826111,-0.422250005,-0.33958526,0.847767877,0.325617606,0.378121591,0.286578667,0.469756446,0.366978493,-0.389736286,-0.353167582,0.886292037,0.135404211
-0.207617693,-0.135726085,-0.18508281,-0.08040857,0.504709473,0.340329148,0.090638255,0.121248151,0.232015735,0.291712232,-0.27801749,-0.014985968,0.723318487,0.228836186
-0.100509817,-0.045196634,-0.06715594,0.119185655,0.32183395,0.251267721,-0.062454284,0.037847476,0.078326527,0.162019496,-0.237506267,-0.082519373,0.493073703,0.348104454
-0.058403466,0.002049131,0.046876072,0.049728394,0.076370416,0.245411449,-0.012943557,0.044489053,-0.196722344,-0.120460076,-0.071080748,0.10735883,0.292668727,0.230995915
0.193140023,0.293093747,0.223360572,0.235500784,0.08418292,0.207451103,-0.073959282,-0.066698852,-0.283941684,-0.331583127,0.43605051,0.362794886,0.324018278,0.149675011
0.197282908,0.287516457,0.463513471,0.235894893,-0.151809335,-0.112368481,-0.245266033,-0.225189545,-0.461616715,-0.639235707,0.410354099,0.518775828,0.29849692,0.099927418
0.215474669,0.288211944,0.262759056,-0.098119744,-0.499510361,-0.189706723,-0.248768327,-0.123168138,-0.313627426,-0.338112984,0.587591018,0.394125485,0.171805336,-0.002739462
0.124523573,0.194924377,-0.240605443,-0.360599851,-0.49219873,-0.134807962,-0.200596113,-0.145162022,-0.289766543,-0.371208379,0.444322477,0.532001402,-0.333999133,-0.128655548
-0.004789321,0.111890959,-0.517223724,-0.43312413,-0.202148518,0.088983586,-0.139408406,-0.12939605,-0.203913471,-0.247464241,0.410691234,0.382019345,-0.17418888,-0.231284499
-0.100788227,-0.096379886,-0.418060901,-0.349129692,-0.149282197,-0.005301166,-0.240336133,-0.117445631,-0.131404163,-0.051112324,0.210009088,0.255004146,0.089323618,-0.04135402
-0.025797331,-0.090726891,-0.714965017,-0.59385537,-0.025759773,0.023579454,-0.10891661,-0.011409499,-0.00753267,0.05588527,0.291429812,0.082445255,0.12939374,0.279932052
-0.037813921,-0.184450824,-0.625196217,-0.399393949,0.389131287,0.04637962,0.216476353,0.120983148,0.355030423,0.256188874,-0.210566914,-0.353638991,0.448069331,0.317128299
0.026838182,-0.099366787,-0.015690186,-0.066260298,0.445319312,-0.051658527,0.294448994,0.099564766,0.282251402,0.157465824,0.153776068,-0.273441925,0.277086035,-0.111044212
0.342580221,0.27985761,0.354700455,0.197967202,0.24360375,-0.156966776,0.129657994,0.053288479,0.016618747,0.047501596,0.421275946,0.403783002,-0.16528319,0.108110114
0.319684815,0.272864518,0.012594944,-0.069776256,-0.219486548,-0.300397006,-0.027688757,0.010922143,-0.423255153,-0.269187926,0.687437554,0.644025446,-0.116975497,0.522050501
0.275040442,0.275543087,-0.039725339,0.009636526,-0.273729965,-0.360012513,-0.226040839,-0.156813027,-0.457135671,-0.404229951,1.032840644,0.91279825,-0.613876173,0.274944109
0.123106232,0.206482085,-0.237124547,-0.019988888,-0.782844933,-0.630112306,-0.429772204,-0.395129932,-0.575316088,-0.518744008,0.890457887,0.747482367,-0.99109126,-0.109263613
0.251668339,0.33049568,0.487055603,0.41411502,-0.51447756,-0.411788659,-0.234821999,-0.243499074,-0.222523826,-0.164130214,0.787414777,0.744370507,-0.556029285,0.289837668
0.180897319,0.170223154,0.473472743,0.418313831,-0.224267717,-0.045208092,0.004814811,-0.045390239,-0.065693279,-0.00082876,0.694896523,0.545333268,0.05959371,0.301410344
-0.005495633,0.001503342,0.28862943,0.193366375,-0.303109169,0.023097453,0.072915024,0.268948954,0.273878746,0.284422063,0.316185187,0.181477077,0.206949165,0.552459151
-0.056108658,-0.093391532,0.07591425,0.044173455,-0.144429261,0.265299661,0.087764557,0.197195603,0.255768442,0.263469456,-0.20310114,-0.117863525,-0.08112147,0.874304875
0.061825517,0.028433999,0.173457753,0.040377201,0.051695354,0.375318229,-0.002452616,0.109674286,0.007903478,0.112523116,-0.16154388,-0.034846266,-0.192151233,1.029938021
-0.054348552,0.058479606,0.355753323,0.193401028,0.352056829,0.66540735,-0.140062949,0.090384794,0.162113914,0.195303858,-0.378072843,0.145368018,0.052139937,0.797623895
0.046725881,0.037620992,0.266268993,0.240583361,0.059345005,0.351868349,-0.040722591,-0.088976957,0.119093524,0.193712988,0.170337611,0.367703215,-0.445141126,-0.323108201
-0.25362207,-0.32728118,0.156867337,0.123618866,-0.073514275,-0.139025294,-0.108563642,-0.026280486,0.225759531,0.283525624,-0.297331248,-0.313984819,-0.40596703,-0.496043627
-0.231425167,-0.43006805,0.195393106,-0.080940606,0.025058688,0.097517504,0.150957895,0.211378099,0.47848685,0.457206094,-0.495263245,-0.680444998,0.263477357,-0.314077801
-0.449572959,-0.410962594,-0.180262009,-0.302218803,0.62003222,0.614785069,0.446461788,0.437719024,0.585315393,0.450241035,-0.941578242,-0.780405301,0.827525399,-0.884349788
-0.269349402,-0.223096334,0.108946348,0.153303428,0.361352915,0.141170458,0.241668891,-0.002060397,0.31547754,0.214958171,-0.905111922,-0.721159904,0.589920656,-1.878639572
0.045486861,0.103569777,0.634547619,0.678247379,0.025761105,-0.317664815,-0.147066686,-0.184891642,-0.07208705,-0.046447676,-0.549007432,-0.464319312,0.496831704,-1.277576112
0.080686384,0.010509198,0.667800903,0.65560972,-0.194336397,-0.310436295,-0.260270585,-0.332007947,-0.127858666,-0.202252002,-0.595119065,-0.537392864,0.100779723,-0.775771821
0.080806388,0.058467587,0.482747939,0.166447759,-0.065508264,-0.04806738,0.137983175,0.082483061,-0.056976448,-0.217778375,-0.321217114,-0.143132653,0.389761051,0.020359232
0.057235422,0.28386107,0.136156777,-0.247067579,0.297875983,0.204841253,0.113788141,0.077727963,0.009039878,-0.094511109,0.022621303,0.276501063,-0.036243783,0.282842136
0.051746596,0.133168703,-0.41313335,-0.457754864,0.21699403,0.045657737,0.191324409,0.091260895,-0.114406136,-0.155123898,0.005890794,-0.122078744,-0.541711147,0.164831174
0.096038755,0.030198616,-0.497182024,-0.416643585,0.201446611,-0.201495925,0.027400341,-0.027111074,-0.199588232,-0.288952593,-0.02852229,-0.093639887,-0.582114307,-0.223489922
-0.090478407,-0.042368583,-0.454816301,-0.154065471,-0.255433116,-0.491257913,-0.177720235,-0.267487333,-0.339575307,-0.268011406,-0.132498142,-0.257423901,-0.334519221,-0.395220968
-0.083051544,-0.004102261,-0.577267238,-0.165369766,-0.55111357,-0.494037131,-0.1801141,-0.126584034,-0.27599017,-0.109948856,-0.196812885,-0.334291856,-0.313624698,-0.748321049
-0.144822859,0.034275291,-0.124834104,0.217990359,-0.095610901,-0.14006102,-0.000722268,-0.114302483,0.07678123,0.093997174,-0.164355854,-0.074934152,-0.026450482,-0.649723949
0.136158936,-0.036825149,0.031901055,0.10268828,0.076078013,-0.003699286,0.117534764,-0.061633463,0.151007654,0.170786919,-0.035928747,-0.308421927,0.104135668,-0.093835195
-0.005687306,-0.015884966,0.25498012,0.195974537,0.379099696,0.001447196,0.129571078,-0.017461169,-0.07824412,-0.144395962,-0.192908981,-0.262774461,-0.262266041,0.084257961
-0.013236701,-0.071431502,0.215257773,0.163641636,0.603405017,0.062342885,0.244722405,0.151493686,-0.08483905,-0.288146588,-0.333001538,-0.451057372,-0.37214189,0.323759118
0.048487826,0.090825512,-0.223808194,-0.007311047,0.525221882,0.358687015,0.271807887,0.276097541,-0.033193476,-0.151856808,-0.299709359,-0.509720335,-0.510878206,0.56331053
-0.107101586,-0.148787067,-0.497292668,-0.064821675,0.688929272,0.640683477,0.213517657,0.194287622,0.165406321,0.037698424,-0.424059627,-0.415051064,-0.241671593,0.789681116
-0.145351069,-0.192368496,-0.242713971,0.038300016,0.276690282,0.318157172,-0.030420683,-0.057329853,0.090259999,0.033183964,-0.288142001,-0.043563892,-0.271100308,0.208912511
-0.342098158,-0.065707501,-0.480735848,-0.250398363,-0.110504425,-0.036521528,-0.211340253,-0.172262797,-0.097032318,-0.07266275,-0.888624178,-0.586587206,-0.15568712,-0.011832731
-0.214908425,-0.284736038,-0.972280624,-0.43813336,-0.117015027,0.018344736,-0.027673886,0.106015293,0.082719232,0.171109501,-0.747672086,-0.67665531,0.032859065,0.304974909
-0.137103935,-0.26505739,-0.759936137,-0.439970073,-0.087263294,0.011399527,0.1888433,0.218058529,0.170357986,0.285953759,-0.419662484,-0.229721024,-0.010825603,0.107191062
-0.186844628,-0.19666087,-0.381021977,-0.346250275,-0.054398997,0.179742957,0.038899055,0.088960949,0.278310172,0.347667718,-0.262664299,-0.02786197,0.321751214,-0.148162713
0.138875484,0.004175502,-0.374222501,-0.24641551,-0.05826463,0.200435359,0.111022477,0.146420919,0.091670504,0.35896304,0.060352511,0.42901478,0.595861263,0.123411333
-0.133911403,0.07387106,-0.581069293,-0.470759148,-0.317879133,0.125296666,-0.057534416,-0.037193732,-0.129629048,-0.026684608,0.194990222,0.632495982,0.087776231,-0.051140302
0.149867047,0.307847388,-0.48998567,-0.292034954,-0.590543409,-0.210290058,-0.253028031,-0.254854507,-0.30615446,-0.196196513,0.659669702,0.930446652,-0.248521918,-0.066860188
0.14321474,0.185826253,0.12025289,0.366205964,-0.901521395,-0.591300352,-0.420226761,-0.275586447,-0.228658936,-0.213343725,0.611241241,0.426818717,-0.107878758,-0.03274112
0.041257744,0.170769266,0.554666787,0.526878888,-0.681234394,-0.525724526,-0.486887624,-0.39117993,-0.095582936,-0.029728508,0.570471018,0.239473634,-0.098286705,0.117789641
0.093080736,-0.082695034,0.472766047,0.068911433,-0.610290158,-0.458790122,-0.353715727,-0.246416097,-0.183800833,-0.101705608,0.482537854,0.118595614,-0.406480408,0.102637334
0.104890751,0.056174716,0.755583135,0.275763965,-0.463748221,-0.157448723,-0.261936141,-0.196358247,-0.168949818,-0.118929577,0.650406152,0.537890275,0.237329059,0.657960056
0.062290346,0.061555906,0.656940647,0.218100933,-0.595081405,-0.227908399,-0.20326162,-0.104288371,-0.131531277,-0.16119979,0.491079539,0.525231387,0.534015284,0.391942351
-0.055371547,0.019829582,0.485671254,0.416230011,-0.075710905,-0.001536351,0.014130318,0.072513076,0.064110268,-0.118977517,0.635271474,0.81327084,0.80242535,0.398881847
0.167769867,0.17675641,0.403963435,0.175254281,0.07946176,0.185332491,0.142996523,0.104671834,-0.057284267,-0.074191905,0.951983323,0.98143564,1.086112652,0.534992901
0.499708006,0.286366444,0.620083476,-0.046129114,0.094255782,-0.03758844,-0.053065113,-0.101536252,-0.208513537,-0.158756746,1.328592187,1.197389323,0.96660692,0.227650677
0.654681563,0.442650038,0.884639731,0.118272406,0.251665863,0.185901806,-0.175753897,-0.119161291,-0.074354918,-0.068739147,1.733130828,1.446317584,1.084565312,0.691104307
0.614321532,0.368436254,1.184194476,0.208211308,0.66591556,0.395161072,0.246828872,0.368148364,0.246969029,0.246608758,1.850048905,1.272933204,0.91810604,1.043537015
0.421599592,0.159337713,1.378772359,0.374583867,1.037461974,0.386253362,0.460783498,0.557690122,0.411473031,0.308065434,1.609784892,0.713355704,0.31888463,0.794151777
0.136661586,-0.183175828,0.752330186,-0.095805986,1.096685783,0.345775241,0.500742877,0.358828357,0.484769232,0.325183193,1.086842464,0.021245559,-0.35701238,-0.333230001
-0.138921638,-0.365847457,-0.044030027,-0.304168049,0.888978147,0.200370716,0.533388668,0.385057178,0.47565889,0.250354919,-0.002463297,-0.660863303,-0.450774884,-0.738873241
-0.271459444,-0.272930031,-0.504501649,-0.176889497,0.288446433,-0.068246862,0.186327643,0.250445363,0.04582026,0.020896087,-1.036355397,-1.196092914,-0.7790098,-0.916061827
-0.064270438,0.185835239,-0.334650185,-0.154551423,-0.097650197,-0.111043281,0.006048317,0.136143765,-0.088934582,-0.081548419,-1.11054677,-1.014128728,-0.865274324,-0.827962082
-0.267597768,-0.050589184,-0.531117963,-0.102567135,-0.461214753,-0.350378184,-0.141492446,-0.134740126,-0.214173999,-0.085640115,-1.179180198,-1.019427845,-0.732578674,-0.796624867
